0,프리바이오틱(이소말토올리고당),프리바이오틱스 체내 효소 분해 되 않 흡수 되 않 도달 하 올리 장내 미생물 먹이 사용 되 장내 균 총 개선 시키 보 되
1,글루코아밀라아제,글 루 코아 밀라 제 α 14 결합 순서 가수 분해 뿐 아니 α 16 결합도 가수 분해 수 있 전분 분해 효소 비 정제 효소 crude enzyme 또는 정제 효소 purified enzyme 형태 시중 판매 있
2,헤미셀룰라아제,헤미셀룰라아제는 빵 반죽 끈적거리 감소 빵 의 부피 내부 구조 향상 시키 저장 수명 증가 노화 의 감소 관하 연구 등 많이 이용 있다 6 - 12
3,아밀라아제,무 있 디아 스타 효소 아 밀라 아 효소 음식물 소화 돕 장 기능 원활 하 효능 있 이러 이유 과식 속 더부룩 때 무 먹 위 편하 지 소화 잘 되 현상 느끼 수 있 단 소화 촉진 목적 무 생으로 먹 하
4,프로테아제,프로 테 아 포스 파타 억제제 칵테일 단백질 분해 단백질 타 산 방지 세포 용해 단백질 추출 검 체 준비 단백질 활 성 상태 유지 하 세포소기관 분 획 단백질 농축 통하 단백질 체학 연구 단백질 식별 연구 하 있
5,세라펩타아제,세라 펩 단백질 분해 하 성능 매우 뛰어나 효능 사람 섭취 하 경우 몸 안 변 단백질 세포 분해 제거 하 효과 있 알리 지
6,프리바이오틱(이소말토-올리고당),프리바이오틱스 체내 효소 분해 되 않 흡수 되 않 도달 하 올리 장내 미생물 먹이 사용 되 장내 균 총 개선 시키 보 되
7,나토키나아제,나토 키 나 강력 혈전 분해 능력 프로 유로 키 나 활성 능력 혈전 형성 막 혈관 폐색 치료 하 콜레스테롤 중성 지방 제거 하 고지혈증 개선 시키 효과 있 일반 다 콜레스테롤 동맥 경화 뇌경색 심근 경색 일으키 요인 되
8,damiana (잎),다 미아 잎 생식기 영역 혈류 증가 발기 촉진 기능 있 때문 천연 최 음 제로 사용 마야 인디언 포함 멕시코 원주민 성적 능력 향상 남성 여성의 성 자극 에너지 천식 우울증 발기부전 및 월경 문제 사용
9,fenugreek (종자),호로 ​ 파 여성 성 호르몬 에스트로겐 유사 화학 물질 디오스 니 에스트로겐 소 프 본 들 있 유방 발육 촉진 폐경기 증상 줄이 도움 되 있 호로 파 함유 되 트리 넬리 비타민 B 3 매우 유사 구조 가지 알칼로이드 항균 항 바이러스 지질 강하 혈당
10,blessed thistle (잎),Blessed Thistle 은 칼륨 나트륨 충분히 함유 되 있 허브 월경 무 월경 관절염 배뇨 장애 황달 발열 호흡기 알레르기 질환 치료 하 탁월 효능
11,fennel (종자),회향 씨앗 완하제 작용 하 깨끗이 하 도움 되 자극 효과 장의 적절 연동 운동 유지 켜 배설 촉진 도움 되 회향 복통 과 민성 대장 증후군 IBS 문제 치료 하 의약품 흔히 발견 되
12,pueraria mirifica (뿌리),P mirifica 갱년기 여성 대하 에스트로겐 대체 요법 사용 있 Red Kwao Krua B superba 오 Black Kwao Krua M collettii 남성의 성 기능 증진 및 발기부전 예방 및 치료 사용 있 Suntara 1931
13,wild yam (뿌리),와일드 얌 소화기 및 신장 질환 도움 되 항염 효과 있 연구 바 있 서양 와일드 얌 Dioscorea villosa 뿌리 전통 류 마 티 즘 경감 사용 식물 에스트로겐 성분 함유 것 밝히 지 여성 질환 치료 사용
14,커민 (뿌리),커민 비타민 E 비타민 C 베타카로틴 함유 있 피부 미용 노화 방지 혈액 순환 하 항산 작용 !! 커민 오일 피부 곰팡이 미생물 감염 제거 도움 세포 노화 막 면역력 높이 피부 혈관 알 티에 이징 !! 면역 소염 진통 효과 관절염 좋
15,홉스 (꽃),홉스 맥주 원료 쓰이 지 전 1 천 년 동안 신경 안정제 및 이 항생제 여성 호르몬 대체 성분 항염 작용 혈당 저하 및 갑상선 기능 작용 사실 보고 있
16,mk-4(메나퀴논-4),MK -4 비타민 K 1 이 전환 것 K1 마찬가지 혈액 비타민 K 수준 속히 증진 생체 이용 낮 Mk 7 K2 수준 오래 지속 하 생체 이용 MK -4 훨씬 높
17,mk-7(트랜스 메나퀴논-7),혈관 신장 뇌 열 조직 칼슘 침착 되 것 막 주 조절 단백질 이 반대 뼈 칼슘 운반 촉진 시키 고요
18,리파아제,리파 아 Lipase 늘 중성 지방 분해 하 소화 효소 췌장 생 성 십이지장 분비 되 췌장 세포 손상 되 췌관 막히 리파 아 배출 되 못 하 혈 중 농도 증가
19,타우린,타우린 무독 성 성인병 알코올 중독 스트레스 같 병 효능 좋 술 들 나서 해산물 들 있 음식 들 알코 울도 분해 간도 보호 되 하 타우린 뇌 기능 돕 주 혈압 안정 시키 뇌졸중 예방 도움 되
20,알파리포산,​ 알 파리 포산 암 심장병 당뇨병 같 질병 근본 원인 세포 손상 늦추 도움 되 있 신체 비타민 E 비타민 C 같 필수 비타민 수치 회복 신체 소화 에너지 활용 탄수화물 분자 소화 활용 하 도와주
21,바나듐(바나딜 황산염),바나듐 뼈 치 형성 필요 결핍 불임 유아 사망 성장 지연 뼈 기형 관련 있 일부 연구 따르 바나듐 콜레스테롤 수치 낮추 심혈관 질환 발병 예방 것 나타나
22,바나듐 (bmov로서),바나듐 뼈 치 형성 필요 결핍 불임 유아 사망 성장 지연 뼈 기형 관련 있 일부 연구 따르 바나듐 콜레스테롤 수치 낮추 심혈관 질환 발병 예방 것 나타나
23,키토산(해양섬유소농축물),간 기능 개선 혈당 조절 등 다방면 효과 ■ 간 기능 강화 및 개선 비만 지방간 고지혈증 개선 ■ 당뇨병 개선 및 예방 ■ 혈압 조절 작용 ■ 항암 작용 항암 치료 부작용 개선 ■ 혈 중 콜레스테롤 농도 제어 ■ 다이어트 효과 ■ 중금속 다이옥신 등 오염 물질 배설 ■ 숙취 해소
24,리파아제프로바이오틱/프리바이오틱혼합물이눌린,눌리 지방 생 성 영향 주 효소 생 성 감소 시키 근육 지방 분해 하 효소 증가 시키 자가면역질환 비만 억제 하 쇄 지방산 생 성 돕 몸속 콜레스테롤 제거 하 고혈압 심장병 대사 질환 예방 하 효과
25,엘더베리 추출물,엘 더 베리 다양 영양 성분 항산 화성 분 항산 항 바이러스 효과 매우 뛰어나 기침 감기 치료 효과 이 염증 완화 소염 효과 가지 있 신체 전반 면역력 높이 주 다양 질병 예방 효과 가지 있
26,프로바이오틱혼합물(500억cfu‡)사카로미세스보울라디,사카 미세스 보 울라 디 프로바이오틱스 일종 박테리아 아니 효모균 이 때문 고온 산성 환경 생존 강인 생존력 특징 하 때문 크론병 궤양성 대장염 등 매우 악화 장내 환경 생존
